Match_id,Bowler,Batsman,score,Over_num,AI_Commentary_Final_Dynamic_Target
4281444,Nehra,Mandeep,FOUR,0.5,Powerplay fireworks! Mandeep hits Nehra for four! What a shot! Four runs to the boundary! 
4281444,Nehra,Mandeep,FOUR,1.0,Powerplay fireworks! Mandeep hits Nehra for four! What a shot! Four runs to the boundary! 
4281444,Henriques,Kedar Jadhav,FOUR,10.0,"Chasing 178, current score 12. Kedar Jadhav hits Henriques for four! What a shot! Four runs to the boundary! "
4281444,Nehra,Kedar Jadhav,FOUR,10.4,"Chasing 178, current score 16. Kedar Jadhav hits Nehra for four! What a shot! Four runs to the boundary! "
4281444,Nehra,Kedar Jadhav,FOUR,10.5,"Chasing 178, current score 20. Kedar Jadhav hits Nehra for four! What a shot! Four runs to the boundary! "
4281444,Henriques,Kedar Jadhav,OUT,11.4,"Chasing 178, current score 20. What a moment! Henriques takes the wicket of Kedar Jadhav! He's gone! Brilliant bowling! "
4281444,Rashid Khan,Head,FOUR,12.4,"Chasing 178, current score 24. Head hits Rashid Khan for four! What a shot! Four runs to the boundary! "
4281444,Rashid Khan,Head,OUT,12.5,"Chasing 178, current score 24. What a moment! Rashid Khan takes the wicket of Head! He's gone! Brilliant bowling! "
4281444,Bipul Sharma,Sachin Baby,OUT,13.4,"Chasing 178, current score 24. What a moment! Bipul Sharma takes the wicket of Sachin Baby! He's gone! Brilliant bowling! "
4281444,Rashid Khan,Watson,SIX,15.0,"Chasing 178, current score 30. Watson sends Rashid Khan's ball into the stands! That's a huge hit! Six runs! "
4281444,Cutting,Binny,SIX,15.2,"Chasing 178, current score 36. Binny sends Cutting's ball into the stands! That's a huge hit! Six runs! "
4281444,Cutting,Watson,FOUR,15.5,"Chasing 178, current score 40. Watson hits Cutting for four! What a shot! Four runs to the boundary! "
4281444,Bhuvneshwar,Binny,ONE,16.2,End overs drama! Over 16.1: Binny faces Bhuvneshwar. Outcome: ONE.
4281444,Bhuvneshwar,Binny,OUT,16.5,End overs drama! What a moment! Bhuvneshwar takes the wicket of Binny! He's gone! Brilliant bowling! 
4281444,Nehra,Watson,OUT,17.3,End overs drama! What a moment! Nehra takes the wicket of Watson! He's gone! Brilliant bowling! 
4281444,Nehra,Aravind,OUT,17.4,End overs drama! What a moment! Nehra takes the wicket of Aravind! He's gone! Brilliant bowling! 
4281444,Bhuvneshwar,Tymal Mills,SIX,18.4,End overs drama! Tymal Mills sends Bhuvneshwar's ball into the stands! That's a huge hit! Six runs! 
4281444,Bhuvneshwar,Tymal Mills,OUT,18.5,End overs drama! What a moment! Bhuvneshwar takes the wicket of Tymal Mills! He's gone! Brilliant bowling! 
4281444,Cutting,Aniket Choudhary,SIX,19.3,End overs drama! Aniket Choudhary sends Cutting's ball into the stands! That's a huge hit! Six runs! 
4281444,Cutting,Aniket Choudhary,OUT,19.4,End overs drama! What a moment! Cutting takes the wicket of Aniket Choudhary! He's gone! Brilliant bowling! 
4281444,Nehra,Gayle,FOUR,2.2,Powerplay fireworks! Gayle hits Nehra for four! What a shot! Four runs to the boundary! 
4281444,Nehra,Mandeep,FOUR,2.4,Powerplay fireworks! Mandeep hits Nehra for four! What a shot! Four runs to the boundary! 
4281444,Nehra,Gayle,SIX,3.0,Powerplay fireworks! Gayle sends Nehra's ball into the stands! That's a huge hit! Six runs! 
4281444,Bhuvneshwar,Gayle,SIX,3.2,Powerplay fireworks! Gayle sends Bhuvneshwar's ball into the stands! That's a huge hit! Six runs! 
4281444,Bhuvneshwar,Mandeep,FOUR,4.0,Powerplay fireworks! Mandeep hits Bhuvneshwar for four! What a shot! Four runs to the boundary! 
4281444,Cutting,Gayle,FOUR,5.0,Powerplay fireworks! Gayle hits Cutting for four! What a shot! Four runs to the boundary! 
4281444,Rashid Khan,Mandeep,FOUR,5.2,Powerplay fireworks! Mandeep hits Rashid Khan for four! What a shot! Four runs to the boundary! 
4281444,Rashid Khan,Mandeep,OUT,5.4,Powerplay fireworks! What a moment! Rashid Khan takes the wicket of Mandeep! He's gone! Brilliant bowling! 
4281444,Deepak Hooda,Gayle,SIX,6.2,"Chasing 178, current score 90. Gayle sends Deepak Hooda's ball into the stands! That's a huge hit! Six runs! "
4281444,Deepak Hooda,Gayle,OUT,6.3,"Chasing 178, current score 90. What a moment! Deepak Hooda takes the wicket of Gayle! He's gone! Brilliant bowling! "
4281444,Rashid Khan,Head,FOUR,7.1,"Chasing 178, current score 94. Head hits Rashid Khan for four! What a shot! Four runs to the boundary! "
4281444,Rashid Khan,Kedar Jadhav,FOUR,8.0,"Chasing 178, current score 98. Kedar Jadhav hits Rashid Khan for four! What a shot! Four runs to the boundary! "
4281444,Cutting,Kedar Jadhav,SIX,8.5,"Chasing 178, current score 104. Kedar Jadhav sends Cutting's ball into the stands! That's a huge hit! Six runs! "
4281444,Henriques,Head,FOUR,9.1,"Chasing 178, current score 108. Head hits Henriques for four! What a shot! Four runs to the boundary! "
4281444,Tymal Mills,Warner,FOUR,0.3,Powerplay fireworks! Warner hits Tymal Mills for four! What a shot! Four runs to the boundary! 
4281444,Aniket Choudhary,Warner,FOUR,1.2,Powerplay fireworks! Warner hits Aniket Choudhary for four! What a shot! Four runs to the boundary! 
4281444,Aniket Choudhary,Warner,SIX,1.3,Powerplay fireworks! Warner sends Aniket Choudhary's ball into the stands! That's a huge hit! Six runs! 
